"Drug","Serious - More common","Serious - Less common","Serious - Rare","Serious - Incidence not known","Serious - More common in children","Symptoms of overdose","More common","Less common","Rare","Incidence not known"
"clorazepate",,"Bladder pain; bloody or cloudy urine; difficult, burning, or painful urination; frequent urge to urinate; lower back or side pain; shakiness and unsteady walk; slurred speech; trembling or shaking of the hands or feet; unsteadiness, trembling, or other problems with muscle control or coordination; ",,,,"Change in consciousness; drowsiness; loss of consciousness; relaxed and calm; sleepiness; ",,"Blurred vision; diarrhea; discouragement; dizziness; double vision; dry mouth; feeling sad or empty; headache; indigestion; irritability; loss of appetite; loss of interest or pleasure; mental confusion; nausea or vomiting; nervousness; passing of gas; seeing double; skin rash; stomach pain, fullness, or discomfort; trouble with concentrating; trouble with sleeping; unusual tiredness or weakness",,
"clozapine","Blurred vision; confusion; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; fainting; fast, pounding, or irregular heartbeat or pulse; fever; shakiness in the legs, arms, hands, or feet; sleepiness or unusual drowsiness; sweating; trembling or shaking of the hands or feet; unusual tiredness or weakness; ","Anxiety; black, tarry stools; chest pain; chills; convulsions; cough or hoarseness; decrease in the frequency of urination; decrease in urine volume; difficult or labored breathing; difficulty in passing urine (dribbling); discouragement; dry mouth; feeling sad or empty; fever with or without chills; frequent strong or increased urge to urinate; general feeling of tiredness or weakness; headache; hyperventilation; irritability; lack of appetite; loss of bladder control; loss of interest or pleasure; lower back or side pain; muscle spasm or jerking of the arms or legs; painful or difficult urination; pounding in the ears; restlessness or need to keep moving; severe or continuing headache; shakiness and unsteady walk; slurred speech; sore throat; sores, ulcers, or white spots on the lips or in the mouth; sudden jerky movements of the body; sudden loss of consciousness; swollen glands; throat discomfort; tightness in the chest; trouble concentrating; trouble sleeping; unsteadiness, trembling, or other problems with muscle control or coordination; ","Absence of or decrease in movement; change in appetite; dark urine; decreased sexual ability; difficult or fast breathing or sudden shortness of breath; increased sweating; increased thirst; increased urination; lip smacking or puckering; muscle stiffness (severe); nausea; puffing of the cheeks; rapid or worm-like movements of the tongue; swelling or pain in the leg; uncontrolled chewing movements; uncontrolled movements of the arms and legs; unusual bleeding or bruising; unusually pale skin; vomiting; weakness; yellow eyes or skin; ","Abdominal or stomach pain; bloating; burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; clay-colored stools; confusion as to time, place, or person; constipation; diarrhea; epileptic seizure that will not stop; feeling that others are watching you or controlling your behavior; feeling that others can hear your thoughts; feeling, seeing, or hearing things that are not there; holding false beliefs that cannot be changed by fact; inability to move the eyes; increased blinking or spasms of the eyelid; indigestion; itching or skin rash; joint pain; light-colored stools; muscle twitching; pains in the stomach, side, or abdomen, possibly radiating to the back; rhythmic movement of the muscles; severe mood or mental changes; sticking out of the tongue; swelling around the eyes; swelling of the body or feet and ankles; trouble with speaking; unpleasant breath odor; unusual behavior; unusual excitement, nervousness, or restlessness; unusual facial expressions; unusual weight gain; upper right abdominal or stomach pain; vomiting of blood; ",,,"Acid or sour stomach; belching; feeling of constant movement of self or surroundings; heartburn; relaxed and calm sensation of spinning; sleepiness; ","Blurred or loss of vision; change or problem with discharge of semen; disturbed color perception; double vision; halos around lights; inability to sit still; increase in body movements; muscle ache or pain; muscle weakness; night blindness; nightmares; overbright appearance of lights; pain in the back, neck, or legs; pain in the chest below the breastbone; severe muscle stiffness; sore tongue; stuffy nose; tunnel vision; unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness; ",,"Blistering, peeling, or loosening of the skin; hives; increased sensitivity of the skin to sunlight; painful or prolonged erection of the penis; red skin lesions, often with a purple center; red, irritated eyes; reddening of the skin, especially around the ears; severe stomach pain; severe sunburn; sores, welting, or blisters; swelling of the eyes, face, or inside of the nose; swelling of the salivary glands"
"desipramine",,,,"Abdominal or stomach pain; anxiety; black, tarry stools; blurred or double vision; burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; chest pain or discomfort; confusion about identity, place, and time; convulsions; cough or hoarseness; dark urine; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; dry mouth; fainting; fast, irregular, pounding, or racing heartbeat or pulse; inability to move the arms, legs, or facial muscles; inability to speak; irritability; light-colored stools; lightheadedness; loss of appetite; loss of bladder control; muscle spasms or jerking of all extremities; nausea; nightmares; pain or discomfort in the arms, jaw, back, or neck; painful or difficult urination; pinpoint red or purple spots on the skin; pounding in the ears; rash; restlessness; seeing, hearing, or feeling things that are not there; shakiness and unsteady walk; slow speech; sore throat and fever; sores, ulcers, or white spots on the lips or in the mouth; stiffness of the limbs; sudden loss of consciousness; sweating; swelling; swollen glands; talking, feeling, and acting with excitement; trouble sleeping; twisting body movements; unsteadiness, trembling, or problems with muscle control or coordination; unusual bleeding or bruising; unusual tiredness or weakness; vomiting; yellow eyes and skin; ",,,,,,"Abdominal or stomach cramps; bigger, dilated, or enlarged pupils (black part of the eye); bloating; constipation; decrease in the frequency of urination; decrease in urine volume; decreased interest in sexual intercourse; diarrhea; difficulty in passing urine (dribbling); hair loss or thinning of the hair; inability to have or keep an erection; increased in sexual ability, desire, drive, or performance; increased interest in sexual intercourse; increased sensitivity of the eyes to light; loss in sexual ability, desire, drive, or performance; painful urination; swelling of the breasts or breast soreness in both females and males; swelling or inflammation of the mouth; unexpected or excess milk flow from breasts in females"
"desvenlafaxine",,"Chills; cold sweats; confusion; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; fast, pounding, or irregular pulse; headache; numbness or tingling in the arms or legs; shakiness in the legs, arms, hands, or feet; trouble thinking, speaking, or walking; weakness; ",,"Blistering, peeling, or loosening of the skin; bloating; blood in the stool or urine; chest tightness, discomfort, or pain; cough; dark urine; diarrhea; dilated or enlarged pupils (black part of the eye); dizziness; feeling irritated; fainting; fast, irregular, or pounding heartbeat; fever; hives, itching, or rash; hoarseness; indigestion; joint pain, stiffness, or swelling; large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or genitals; loss of appetite; loss of bladder control; muscle pain; muscle spasm or jerking of all extremities; nausea; nosebleeds; pains in the stomach, side, or abdomen, possibly radiating to the back; red skin lesions, often with a purple center; red, irritated eyes; red skin; seizures; sore throat; sores, ulcers, or white spots in the mouth or on the lips; sudden loss of consciousness; swelling of the eyelids, face, lips, hands, or feet; talking, feeling, or acting with excitement; trouble breathing or swallowing; unusual bruising; unusual tiredness or weakness; vomiting; vomiting blood; yellow eyes or skin; ",,"Agitation; bloating; dark urine; feeling of constant movement of self or surroundings; irregular heartbeat recurrent; light-colored stools; muscle cramp or stiffness; nausea; overactive reflexes; poor coordination; restlessness; seizures; sensation of spinning; shivering; stomach pain; vomiting; yellow eyes or skin; ","Decreased appetite; inability to have an orgasm; inability to have or keep an erection; increased sensitivity of the eyes to light; loss of sexual ability, desire, drive, or performance; sleepiness or unusual drowsiness; trouble sleeping; ","Change in taste; continuous ringing, buzzing, or other unexplained noise in the ears; decreased weight; difficult urination; fear or nervousness; hearing loss; jitteriness; lack or loss of strength; loss of taste",,
"dexmethylphenidate","Anxiety; ","Discouragement; fast, pounding, or irregular heartbeat or pulse; feeling sad or empty; fever; irritability; lack of appetite; loss of interest or pleasure; mood swings; tiredness; trouble concentrating; trouble sleeping; ",,"Agitation; arm, back or jaw pain; black, tarry stools; bleeding gums; blood in the urine; bloody nose; blurred vision; chest pain or discomfort; chest tightness or heaviness; chills; confusion; cough; dark urine; diarrhea; difficulty in speaking; difficulty swallowing; dizziness; double vision; drowsiness; fainting; feeling that others are watching you or controlling your behavior; feeling that others can hear your thoughts; feeling, seeing, or hearing things that are not there; headache; heavier menstrual periods; hives, itching, or skin rash; inability to move the arms, legs, or facial muscles; inability to speak; large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or genitals; muscle cramps, pain, stiffness, or spasms; nausea; nervousness; overactive reflexes; painful or difficult urination; pale skin; pinpoint red spots on the skin; poor coordination; pounding in the ears; puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue; redness, soreness, or itching skin; restlessness; right upper quadrant tenderness; seizures; severe mood or mental changes; shivering; slow speech; slowed growth in children; sore throat; sores, ulcers, or white spots on the lips or in the mouth; sores, welts, or blisters; stuffy or runny nose; sweating; swollen glands; talking or acting with excitement you cannot control; trembling or shaking; tremor; troubled breathing with exertion; twitching, twisting, uncontrolled repetitive movements of the tongue, lips, face, arms, or legs; unusual behavior; unusual bleeding or bruising; unusual tiredness or weakness; weight loss; yellow eyes or skin; ",,,"Belching; heartburn; indigestion; stomach discomfort, upset, or pain; vomiting; ",,,"Hair loss; "
"dextroamphetamine",,,"Agitation; delusions; seeing, hearing, or feeling things that are not there; ","Blurred vision; chest discomfort or pain; difficulty breathing; dizziness; faintness; false or unusual sense of well-being; fast, pounding, or irregular heartbeat or pulse; headache; pounding in the ears; shakiness in the legs, arms, hands, or feet; swelling of the feet or lower legs; trembling or shaking of the hands or feet; twitching, twisting, or uncontrolled repetitive movements of the tongue, lips, face, arms, or legs; unable to sleep; uncontrolled vocal outbursts andor tics (uncontrolled repeated body movements); unusual tiredness or weakness; ",,"Change in consciousness; dark-colored urine; diarrhea; discouragement; feeling sad or empty; fever; irritability; lack of appetite; loss of consciousness; loss of interest or pleasure; mood or mental changes; muscle cramps or spasms; muscle pain or stiffness; nausea; panic state; physical attempt to injure; rapid breathing; seizures; stomach cramps; sweating; trouble concentrating; violent actions; vomiting; ",,,,"Bad, unusual, or unpleasant (after) taste; change in taste; constipation; decreased interest in sexual intercourse; dry mouth; hives or welts, itching, or skin rash; inability to have or keep an erection; indigestion; loss in sexual ability, desire, drive, or performance; passing of gas; redness of the skin; weight loss; "
"diazepam","Shakiness and unsteady walk; unsteadiness, trembling, or other problems with muscle control or coordination; ",,,"Abdominal or stomach pain; agitation; black, tarry stools; blistering, flaking, or peeling of the skin; blurred vision; changes in patterns and rhythms of speech; chills; confusion; cough; dark urine; decrease in the frequency of urination; decrease in urine volume; difficulty in passing urine (dribbling); discouragement; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; false beliefs that cannot be changed by facts; fast heartbeat; fast or irregular breathing; feeling sad or empty; feeling that others are watching you or controlling your behavior; feeling that others can hear your thoughts; feeling, seeing, or hearing things that are not there; fever; headache; hyperexcitability; increased muscle spasms or tone; irritability; itching or rash; lack of memory of what takes place after a certain event; loss of appetite; loss of bladder control; loss of interest or pleasure; lower back or side pain; nausea; nightmares; outbursts of anger; painful or difficult urination; pale skin; restlessness; seizures; slurred speech; sore throat; sweating; trouble concentrating; trouble sleeping; trouble speaking; ulcers, sores, or white spots in the mouth; unpleasant breath odor; unusual behavior; unusual bleeding or bruising; unusual feeling of excitement; unusual tiredness or weakness; vomiting of blood; yellow eyes or skin; ",,"Change in consciousness; difficult or troubled breathing; irregular, fast or slow, or shallow breathing; lack of coordination; loss of consciousness; loss of strength or energy; muscle pain or weakness; pale or blue lips, fingernails, or skin; sleepiness; unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness ; ",,,,"Constipation; decreased interest in sexual intercourse; diarrhea; difficulty with swallowing; double vision; dry mouth; feeling of constant movement of self or surroundings; inability to have or keep an erection; increase in sexual ability, desire, drive, or performance; increased interest in sexual intercourse; increased watering of the mouth; indigestion; loss of sexual ability, desire, drive, or performance; passing of gas; seeing double; sensation of spinning"
"divalproex-sodium","Black, tarry stools; bleeding gums; bloating or swelling of the face, arms, hands, lower legs, or feet; blood in the urine or stools; chills; confusion; cough; crying; delusions of persecution, mistrust, suspiciousness, or combativeness; diarrhea; difficult or labored breathing; dysphoria; false beliefs that cannot be changed by facts; false or unusual sense of well-being; feeling of unreality; fever; general feeling of discomfort or illness; headache; hoarseness; joint pain; loss of appetite; lower back or side pain; mental depression; muscle aches and pains; nausea; nervousness; painful or difficult urination; pinpoint red spots on the skin; poor insight and judgment; problems with memory or speech; quick to react or overreact emotionally; rapid weight gain; rapidly changing moods; runny nose; sense of detachment from self or body; shakiness in the legs, arms, hands, or feet; shivering; sleepiness or unusual drowsiness; sore throat; sweating; tightness in the chest; tingling of the hands or feet; trembling or shaking of the hands or feet; trouble recognizing objects; trouble sleeping; trouble thinking and planning; trouble walking; unusual bleeding or bruising; unusual tiredness or weakness; unusual weight gain or loss; vomiting; ","Abnormal dreams; absence of or decrease in body movement; anxiety; bloody nose; blurred vision; bruising burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; change in personality; change in walking and balance; changes in patterns and rhythms of speech; chest pain; cloudy urine; clumsiness or unsteadiness; cold sweats; constipation; dark urine; deep or fast breathing with dizziness; degenerative disease of the joint; difficulty with moving; dizziness; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; dry mouth; excessive muscle tone; fast, irregular, pounding, or racing heartbeat or pulse; feeling of warmth or heat; flushing or redness of the skin, especially on the face and neck; frequent urge to urinate; heavy non-menstrual vaginal bleeding; increased need to urinate; indigestion; lack of coordination; large, flat, blue or purplish patches in the skin; leg cramps; lip smacking or puckering; loss of bladder control; loss of strength or energy; multiple swollen and inflamed skin lesions; muscle pain or stiffness; muscle tension or tightness; normal menstrual bleeding occurring earlier, possibly lasting longer than expected; numbness of the feet, hands and around mouth; pains in the stomach, side, or abdomen, possibly radiating to the back; passing urine more often; pounding in the ears; puffing of the cheeks; rapid or worm-like movements of the tongue; rapid weight gain; restlessness; seeing, hearing, or feeling things that are not there; shakiness and unsteady walk; slurred speech; small red or purple spots on the skin; sweating; swollen joints; trouble with speaking; twitching; uncontrolled chewing movements; uncontrolled movements of the arms and legs; unsteadiness, trembling, or other problems with muscle control or coordination; vomiting of blood or material that looks like coffee grounds; yellow eyes or skin; ",,"Aggression; bladder pain; blistering, peeling, loosening of the skin; blisters on the skin; bone pain, tenderness, or aching; chest discomfort; cloudy urine; decrease in height; decreased urine output; difficulty swallowing; feeling that others are watching you or controlling your behavior; feeling that others can hear your thoughts; feeling, seeing, or hearing things that are not there; hives, itching, skin rash; increased sensitivity of the skin to sunlight; increased thirst; irritability; joint or muscle pain; loss of balance control; loss of consciousness; mask-like face; pain in the back, ribs, arms, or legs; pain or swelling in the arms or legs without any injury; puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue; red skin lesions, often with a purple center; red, irritated eyes; redness or other discoloration of the skin; seizures; severe mood or mental changes; severe sunburn; shuffling walk; slow heartbeat; slowed movements; slurred speech; sores, ulcers, or white spots in the mouth or on the lips; stiffness of the arms and legs; swelling of the face, ankles, or hands; swollen or painful glands; tic-like (jerky) movements of the head, face, mouth, and neck; unusual behavior; ",,,"Belching; body aches or pain; change in vision; congestion; continuing ringing or buzzing or other unexplained noise in the ears; hair loss or thinning of the hair; hearing loss; heartburn; impaired vision; lack or loss of strength; loss of memory; problems with memory; seeing double; tender, swollen glands in the neck; uncontrolled eye movements; voice changes; weight gain; weight loss; ","Absent, missed, or irregular menstrual periods; burning, dry, or itching eyes; change in taste or bad unusual or unpleasant (after) taste; coin-shaped lesions on the skin; cough producing mucus; cramps; dandruff; discharge or excessive tearing; dry skin; earache; excess air or gas in the stomach or bowels; eye pain; feeling of constant movement of self or surroundings; full feeling; heavy bleeding; increased appetite; itching of the vagina or genital area; loss of bowel control; neck pain; oily skin; pain; pain during sexual intercourse; pain or tenderness around the eyes and cheekbones; passing gas; rash with flat lesions or small raised lesions on the skin; redness or swelling in the ear; redness, pain, swelling of the eye, eyelid, or inner lining of the eyelid; redness, swelling, or soreness of the tongue; sensation of spinning; sneezing; stiff neck; stopping of menstrual bleeding; thick, white vaginal discharge with no odor or with a mild odor; ",,"Breast enlargement; changes in hair color or texture; discoloration of the fingernails or toenails; increased hair growth, especially on the face; unexpected or excess milk flow from the breasts"
"doxepin",,,,"Abdominal or stomach pain; agitation; black, tarry stools; bleeding gums; blood in the urine or stools; blurred vision; burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; canker sores; chest pain; chills; clay-colored stools; cold sweats; confusion about identity, place, and time; convulsions; cool, pale skin; cough or hoarseness; dark urine; decrease in the frequency of urination; decrease in urine volume; decreased urine output; depression; difficulty in passing urine (dribbling); difficulty with breathing; difficulty with speaking; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; drooling; dry mouth; fast, pounding, or irregular heartbeat or pulse; feeling of warmth; fever; flushed, dry skin; fruit-like breath odor; general feeling of tiredness or weakness; headache; hearing loss; hostility; increased hunger; increased thirst; increased urination; irritability; itching or rash; lethargy; lip smacking or puckering; loss of appetite; loss of balance control; loss of bladder control; lower back or side pain; mood or mental changes; muscle spasm or jerking of all extremities; muscle trembling, jerking, or stiffness; muscle twitching; nausea; nervousness; nightmares; noisy breathing; painful or difficult urination; pinpoint red spots on the skin; pounding in the ears; puffing of the cheeks; rapid or worm-like movements of the tongue; rapid weight gain; redness of the face, neck, arms, and occasionally, upper chest; restlessness; ringing or buzzing or other unexplained noise in the ears that continues; seeing, hearing, or feeling things that are not there; seizures; shakiness and unsteady walk; shakiness in the legs, arms, hands, or feet; shuffling walk; sore throat; sores, ulcers, or white spots on the lips, tongue, or in the mouth; slurred speech; stiffness of the limbs; stupor; sudden loss of consciousness; sweating; swelling of the face, ankles, or hands; swollen glands; tightness in the chest; troubled breathing; twisting movements of the body; uncontrolled chewing movements; uncontrolled movements, especially of the arms, face, legs, neck, and back; unexplained weight loss; unpleasant breath odor; unsteadiness, trembling, or other problems with muscle control or coordination; unusual bleeding or bruising; unusual tiredness or weakness; vomiting of blood; yellow eyes or skin; ",,"Clumsiness; disturbed concentration; drowsiness; enlarged pupils; increased or excessive unconscious or jerking movements; low body temperature; muscle aches; muscle weakness; shivering; sleepiness; weak or feeble pulse; weight gain; ",,,,"Change in taste or bad, unusual or unpleasant (after) taste; decreased interest in sexual intercourse; diarrhea; difficulty having a bowel movement (stool); enlargement of the breasts; gas in the stomach; hair loss or thinning of the hair; heartburn; inability to have or keep an erection; increased in sexual ability, desire, drive, or performance; increased interest in sexual intercourse; increased sensitivity of the skin to sunlight; loss in sexual ability, desire, drive, or performance; redness or other discoloration of the skin; severe sunburn; swelling of the breasts or breast soreness in both females and males; swelling of the testicles; unexpected or excess milk flow from breasts; weight loss; "
"duloxetine",,,,"Abdominal or stomach pain; area rash; blindness; blistering, peeling, or loosening of the skin; blurred vision; change in consciousness; chills; clay-colored stools; cold sweats; confusion; convulsions; dark urine; decreased urine output; decreased vision; difficulty with swallowing; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; eye pain; fainting; fast or irregular heartbeat; general tiredness or weakness; hives or welts, itching, or skin rash; hives, itching, puffiness, or swelling of the eyelids or around the eyes, face, lips, or tongue; increased thirst; joint or muscle pain; large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs; light-colored stools; loss of consciousness; red skin lesions, often with a purple center; red, irritated eyes; redness of the skin; sores, ulcers, or white spots in the mouth or on the lips; swelling of the face, ankles, or hands; tearing; tightness in the chest; unpleasant breath odor; upper right stomach pain; vomiting of blood; yellow eyes and skin; ",,"Agitation; diarrhea; fever; loss of bladder control; muscle spasm or jerking of all extremities; overactive reflexes; poor coordination; restlessness; shivering; sleepiness or unusual drowsiness; sudden loss of consciousness; sweating; talking or acting with excitement you cannot control; trembling or shaking; twitching; unusual tiredness or weakness; vomiting; ","Body aches or pain; cough; difficulty having a bowel movement (stool); dry mouth; ear congestion; frequent urination; headache; lack or loss of strength; loss of appetite; loss of voice; muscle aches; nausea; sleepiness or unusual drowsiness; sneezing; sore throat; stuffy or runny nose; sweating increased; trouble sleeping; weight loss; ","Abnormal orgasm; acid or sour stomach; belching; burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; change in taste; change or problem with discharge of semen; decreased interest in sexual intercourse; difficulty with moving; feeling of warmth or redness of the face, neck, arms, and occasionally, upper chest; heartburn; inability to have or keep an erection; indigestion; longer than usual time to ejaculation of semen; loose stools; loss in sexual ability, desire, drive, or performance; loss of taste; muscle cramps, pains, or stiffness; shakiness in the legs, arms, hands, or feet; stomach discomfort or upset; sudden sweating; swollen joints; trembling or shaking of the hands or feet",,
"escitalopram",,,"Coma; confusion; convulsions; decreased urine output; dizziness; fast or irregular heartbeat; headache; increased thirst; muscle pain or cramps; nausea or vomiting; shortness of breath; swelling of the face, ankles, or hands; unusual tiredness or weakness; ",,,,"Constipation; decreased interest in sexual intercourse; diarrhea; dry mouth; ejaculation delay; gas in the stomach; heartburn; inability to have or keep an erection; loss in sexual ability, desire, drive, or performance; sleepiness or unusual drowsiness; trouble sleeping; ","Bloated or full feeling; burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; chills; cough; decreased appetite; excess air or gas in the stomach or intestines; fever; general feeling of discomfort or illness; increased sweating; joint pain; muscle aches and pains; not able to have an orgasm; pain in the neck or shoulders; pain or tenderness around the eyes and cheekbones; passing gas; runny nose; shivering; sneezing; sore throat; stuffy nose; tightness of the chest; tooth problems; trouble breathing; unusual dreams; unusual drowsiness, dullness, tiredness, weakness or feeling of sluggishness; yawning",,
"esketamine","Anxiety; blurred vision; confusion about identity, time, and place; dizziness; drowsiness; feeling of constant movement of self or surroundings; feeling of unreality; headache; lightheadedness; nervousness; pounding in the ears; relaxed and calm feeling; sensation of spinning; sense of detachment from self or body; sleepiness; slow or fast heartbeat; unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness; ","Changes in patterns and rhythms of speech; excitement; false or unusual sense of well-being; fast, pounding, or irregular heartbeat or pulse; feeling abnormal or drunk; frequent daytime urination; nightmares or unusually vivid dreams; slurred speech; tremor; trouble in speaking; urinating small amounts of urine at a time; ","Changes in behavior; chest pain or discomfort; discouragement; fast or pounding heartbeat; feeling sad or empty; irritability; lack of appetite; loss of interest or pleasure; sweating; thoughts of killing oneself; trouble concentrating; trouble sleeping; ",,,,"Burning, crawling, itching, numbness, prickling, pins and needles, or tingling feelings; change in or loss of taste; diarrhea; nasal itching, burning, or irritation; nausea; throat irritation; vomiting; ","Constipation; dry mouth; mouth or throat pain",,
"fluoxetine-olanzapine","Bloating or swelling of the face, arms, hands, lower legs, or feet; body aches or pain; confusion; congestion; cough; delusions; dementia; dryness or soreness of the throat; fever; hoarseness; rapid weight gain; runny nose; shakiness in the legs, arms, hands, or feet; tender, swollen glands in the neck; tingling of the hands or feet; trembling or shaking of the hands or feet; trouble with swallowing; unusual weight gain or loss; voice changes; ","Blurred vision; change in personality; change in vision; difficult or labored breathing; difficulty with sleeping; difficulty with speaking; dizziness; ear pain; headache; impaired vision; increase in body movements; loss of memory; nervousness; pounding in the ears; problems with memory; slow, fast, pounding, or irregular heartbeat or pulse; tightness in the chest; ","Inability to move the eyes; increased blinking or spasms of the eyelid; sticking out of the tongue; uncontrolled twisting movements of the neck, trunk, arms, or legs; unusual facial expressions; ","Bloody or black, tarry stools; constipation; severe stomach pain; vomiting of blood or material that looks like coffee grounds; ",,,"Diarrhea; dry mouth; increased appetite; lack or loss of strength; weight gain; ","Change or problem with discharge of semen; decreased interest in sexual intercourse; difficulty with moving; inability to have or keep an erection; loss in sexual ability, desire, drive, or performance; muscle pain or stiffness; not able to have an orgasm; pain, swelling, or redness in the joints; tooth disorder; twitching",,
"fluoxetine","Hives, itching, or skin rash; inability to sit still; restlessness; ","Chills or fever; joint or muscle pain; ","Anxiety; cold sweats; confusion; convulsions (seizures); cool pale skin; diarrhea; difficulty with concentration; drowsiness; dryness of the mouth; excessive hunger; fast or irregular heartbeat; headache; increased sweating; increased thirst; lack of energy; mood or behavior changes; overactive reflexes; purple or red spots on the skin; racing heartbeat; shakiness or unsteady walk; shivering or shaking; talking, feeling, and acting with excitement and activity you cannot control; trouble with breathing; unusual or incomplete body or facial movements; unusual tiredness or weakness; ","Abdominal or stomach pain; agitation; back or leg pains; bleeding gums; blindness; blistering, peeling, or loosening of the skin; bloating; blood in the urine or stools; bloody, black or tarry stools; blue-yellow color blindness; blurred vision; chest pain or discomfort; clay-colored stools; constipation; continuing vomiting; cough or dry cough; dark urine; decreased urine output; decreased vision; depression; difficulty with breathing; difficulty with swallowing; dizziness or lightheadedness; eye pain; fainting; fast, pounding, or irregular heartbeat or pulse; general body swelling; high fever; hives, itching, puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue; hostility; indigestion; irregular or slow heart rate; irritability; large, hive-like swelling on the face, eyelids, lips, tongue, throat, hands, legs, feet, or sex organs; light-colored stools; loss of appetite; loss of bladder control; muscle twitching; nausea; nightmares; no blood pressure or pulse; noisy breathing; nosebleeds; pain in the ankles or knees; painful, red lumps under the skin, mostly on the legs; pains in the stomach, side, or abdomen, possibly radiating to the back; pinpoint red spots on the skin; rapid weight gain; red or irritated eyes; red skin lesions, often with a purple center; redness, tenderness, itching, burning, or peeling of the skin; severe muscle stiffness; severe sleepiness; slurred speech; sore throat; sores, ulcers, or white spots on the lips or in the mouth; stopping of heart; sudden shortness of breath or troubled breathing; sudden weakness in the arms or legs; sudden, severe chest pain; swelling of the face, ankles, or hands; swollen or painful glands; thoughts of killing oneself; tightness in the chest; tiredness; twitching, twisting, or uncontrolled repetitive movements of the tongue, lips, face, arms, or legs; unconsciousness; unpleasant breath odor; unusual bleeding or bruising; unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness; unusually pale skin; use of extreme physical or emotional force; vomiting of blood; yellow eyes or skin; ",,,"Decreased appetite; ","r rare; Abnormal dreams; breast enlargement or pain; change in sense of taste; changes in vision; feeling of warmth or heat; flushing or redness of the skin, especially on face and neck; frequent urination; hair loss; increased appetite; increased sensitivity of the skin to sunlight; menstrual pain; stomach cramps, gas, or pain; unusual secretion of milk, in females; weight loss; yawning; ",,"Cracks in the skin; loss of heat from the body; painful or prolonged erections of the penis; scaly skin; swelling of the breasts or breast soreness in both females and males; unusual milk production"
"fluvoxamine",,"Behavior, mood, or mental changes; trouble with breathing; trouble with urinating; twitching; ","Absence of or decrease in body movements; agitation; blurred vision; chills; clumsiness or unsteadiness; confusion; convulsions (seizures); diarrhea; fever; inability to move the eyes; increase in body movements; menstrual changes; nosebleeds; overactive reflexes; poor coordination; red or irritated eyes; redness, tenderness, itching, burning, or peeling of the skin; restlessness; shivering; skin rash; sore throat; sweating; talking or acting with excitement you cannot control; trembling or shaking; unusual bruising; unusual, incomplete, or sudden body or facial movements; unusual secretion of milk (in females); weakness; ",,,,"Change in sexual performance or desire; constipation; headache; trouble sleeping; unusual tiredness; ","Abdominal or stomach pain; change in sense of taste ; decreased appetite; feeling of constant movement of self or surroundings; frequent urination; heartburn; increased sweating; unusual weight gain or loss",,
